,date,close,symbol,is_predicted
5817,2019-08-22,72.71875280727542,LTC,0
10566,2019-08-22,52.61000710860745,XLM,0
11544,2019-08-22,0.1160103620841919,XRP,0
9588,2019-08-22,1.0,USDT,0
8610,2019-08-22,0.9993,USDC,0
444,2019-08-22,0.5742,ALGO,0
9589,2019-08-23,1.003,USDT,0
11545,2019-08-23,0.1216096555784516,XRP,0
10567,2019-08-23,53.06236892267196,XLM,0
5818,2019-08-23,74.43732594243146,LTC,0
8611,2019-08-23,1.001,USDC,0
445,2019-08-23,0.5747,ALGO,0
11546,2019-08-24,0.11688525169267,XRP,0
9590,2019-08-24,1.002,USDT,0
10568,2019-08-24,53.55955938497709,XLM,0
5819,2019-08-24,72.70276608043676,LTC,0
446,2019-08-24,0.5772,ALGO,0
8612,2019-08-24,1.001,USDC,0
8613,2019-08-25,1.0,USDC,0
9591,2019-08-25,1.001,USDT,0
10569,2019-08-25,53.08274558096316,XLM,0
447,2019-08-25,0.5378,ALGO,0
5820,2019-08-25,71.71158901643979,LTC,0
11547,2019-08-25,0.1149604945540182,XRP,0
8614,2019-08-26,1.001,USDC,0
5821,2019-08-26,72.76671298779141,LTC,0
9592,2019-08-26,0.9995000000000002,USDT,0
448,2019-08-26,0.5201,ALGO,0
10570,2019-08-26,53.123498897545545,XLM,0
11548,2019-08-26,0.1152229614365616,XRP,0
11549,2019-08-27,0.114610538710627,XRP,0
8615,2019-08-27,1.0,USDC,0
449,2019-08-27,0.5185,ALGO,0
9593,2019-08-27,0.9991,USDT,0
5822,2019-08-27,72.22316427527694,LTC,0
10571,2019-08-27,52.63853443021512,XLM,0
450,2019-08-28,0.4357999999999999,ALGO,0
10572,2019-08-28,50.86576515888126,XLM,0
8616,2019-08-28,1.0,USDC,0
9594,2019-08-28,0.9993999999999998,USDT,0
5823,2019-08-28,67.33122586264672,LTC,0
11550,2019-08-28,0.1030619958787164,XRP,0
451,2019-08-29,0.4013999999999999,ALGO,0
11551,2019-08-29,0.1037619075654989,XRP,0
10573,2019-08-29,49.96104153075224,XLM,0
8617,2019-08-29,1.001,USDC,0
5824,2019-08-29,64.81331638555764,LTC,0
9595,2019-08-29,1.0,USDT,0
5825,2019-08-30,65.42880536884608,LTC,0
9596,2019-08-30,1.0,USDT,0
452,2019-08-30,0.4197999999999999,ALGO,0
11552,2019-08-30,0.1024495731527818,XRP,0
10574,2019-08-30,50.05477415889173,XLM,0
8618,2019-08-30,1.0,USDC,0
5826,2019-08-31,65.51673236645871,LTC,0
9597,2019-08-31,1.004,USDT,0
453,2019-08-31,0.4085,ALGO,0
11553,2019-08-31,0.105074241978216,XRP,0
10575,2019-08-31,50.152582118689466,XLM,0
8619,2019-08-31,1.003,USDC,0
9598,2019-09-01,1.004,USDT,0
11554,2019-09-01,0.1035869296438033,XRP,0
8620,2019-09-01,1.001,USDC,0
10576,2019-09-01,50.28706806341135,XLM,0
