,factors,MIC,GMIC,TIC,symbol,thresh,factor_type
0,distil_joy_mean,0.4223611545055123,0.3332281016870949,0.2363671526144122,ADA,0.4999999999999998,sentiment
1,distil_joy_sum_pop,0.4371063095002465,0.3665002985398085,0.3023528265302636,ADA,0.4999999999999998,sentiment
2,avg_upvote_ratio,0.3969143075583966,0.3125927142218482,0.2089358405204986,ADA,0.4999999999999998,sentiment
3,momentum_pvo,0.2872898298793166,0.191916115446899,0.164275848565104,ADA,0.4999999999999998,technical
4,distil_anger_sum,0.3371013384968058,0.2628932518048212,0.200027186441647,ADA,0.4999999999999998,sentiment
5,gspc_open,0.5039848975468404,0.4166946291826523,0.3556249062332252,ADA,0.4999999999999998,fundamental
6,gold,0.3415191046526934,0.2768054601017926,0.2449996831807395,ADA,0.4999999999999998,fundamental
7,distil_love_wt_sum_hot,0.4103433659704853,0.3256551296131666,0.2318326703562059,ADA,0.4999999999999998,sentiment
8,trend_cci,0.2369208470889707,0.1420099148884734,0.1279322586121876,ADA,0.4999999999999998,technical
9,distil_surprise_sum_pop,0.422649388910067,0.3528506723657269,0.3008883939580022,ADA,0.4999999999999998,sentiment
10,trend_visual_ichimoku_b,0.5760412294662222,0.3955597178994732,0.285620911530153,ADA,0.4999999999999998,technical
11,vader_neg_sum,0.0,0.0,0.0,ADA,0.4999999999999998,sentiment
12,volatility_kcw,0.3011087354384271,0.2202367306848498,0.1785241396998646,ADA,0.4999999999999998,technical
13,score_total,0.3600845325141734,0.2822234053780507,0.2255196608664571,ADA,0.4999999999999998,sentiment
14,momentum_kama,0.5861855994104604,0.5068644488695521,0.4095263133599978,ADA,0.4999999999999998,technical
15,trend_kst_sig,0.4002625748946701,0.3171136695776574,0.2266601079022273,ADA,0.4999999999999998,technical
16,distil_sadness_mean_pop,0.4100700586577275,0.314285918832675,0.2299111205848675,ADA,0.4999999999999998,sentiment
17,volatility_dcl,0.6315611999128635,0.5043803830887149,0.3927266152736788,ADA,0.4999999999999998,technical
18,vader_pos_sum,0.3303517382746757,0.2678503688948192,0.226241265567431,ADA,0.4999999999999998,sentiment
19,roberta_Negative_sum_pop,0.4103795152552477,0.3275980254046816,0.272197226811367,ADA,0.4999999999999998,sentiment
20,trend_adx_neg,0.2580675137678919,0.1852274648212666,0.1557192751285203,ADA,0.4999999999999998,technical
21,distil_fear_wt_sum,0.403719831365121,0.3234230995675791,0.2243031219340727,ADA,0.4999999999999998,sentiment
22,momentum_uo,0.2582349815309718,0.1736410370321238,0.1296523271285808,ADA,0.4999999999999998,technical
23,vader_neg_wt_sum_hot,0.0,0.0,0.0,ADA,0.4999999999999998,sentiment
24,trend_macd,0.2864780844906099,0.2133031417317805,0.1674059065043104,ADA,0.4999999999999998,technical
25,open,0.455832996437389,0.3919789887839758,0.3395458380333192,ADA,0.4999999999999998,fundamental
26,distil_love_wt_sum_pop,0.3971480599849286,0.3175070436222828,0.2257426488347492,ADA,0.4999999999999998,sentiment
27,btc_open,0.4293058401362651,0.3562720671912303,0.2738017076915834,ADA,0.4999999999999998,technical
28,roberta_pos_vs_neg_mean_pop,0.3762660358880397,0.283815824195971,0.2049344575555491,ADA,0.4999999999999998,technical
29,trend_psar_up_indicator,0.1339662813634808,0.0476374907592495,0.03636303189535,ADA,0.4999999999999998,technical
30,vader_pos_wt_sum_pop,0.4940946997182671,0.4213474078433398,0.3154996331597993,ADA,0.4999999999999998,sentiment
31,trend_aroon_down,0.2394427711594774,0.1521477080354401,0.1233369756034227,ADA,0.4999999999999998,technical
32,volume_vwap,0.5011146067828995,0.4342257008087295,0.380603106598414,ADA,0.4999999999999998,technical
33,vader_compound_mean,0.3485030884104075,0.265830318257113,0.2380293258767577,ADA,0.4999999999999998,sentiment
34,vader_neg_sum_pop,0.0,0.0,0.0,ADA,0.4999999999999998,sentiment
35,volatility_bbhi,0.2056761270707863,0.116628091542802,0.0763999917947637,ADA,0.4999999999999998,technical
36,momentum_roc,0.2440169858987136,0.1525676755306506,0.1203304244929426,ADA,0.4999999999999998,technical
37,volatility_bbw,0.3214624135949552,0.2200704276512219,0.1713109651648777,ADA,0.4999999999999998,technical
38,vader_pos_mean_pop,0.4000792705507245,0.3300375252889567,0.276858496009453,ADA,0.4999999999999998,sentiment
39,distil_joy_mean_hot,0.418799814074036,0.3274937688373409,0.2362841577576709,ADA,0.4999999999999998,sentiment
40,distil_surprise_sum,0.3864565537440742,0.3094824491218097,0.2446619242231138,ADA,0.4999999999999998,sentiment
41,volume_nvi,0.5552041639848975,0.4220635950210741,0.3070938021080646,ADA,0.4999999999999998,technical
42,roberta_Positive_mean_hot,0.3306379746722911,0.249982432555355,0.1950556489892563,ADA,0.4999999999999998,sentiment
43,amd_open,0.5421569688004694,0.4540554204989727,0.3630472124872719,ADA,0.4999999999999998,fundamental
44,roberta_Positive_sum,0.372846965308497,0.2943010607769621,0.2327313216109293,ADA,0.4999999999999998,sentiment
45,volatility_ui,0.2747922368723929,0.1899290537057451,0.1733460728206947,ADA,0.4999999999999998,technical
46,momentum_ppo_signal,0.4200446516101483,0.3073323824761417,0.2096221745890265,ADA,0.4999999999999998,technical
47,momentum_pvo_hist,0.3644726494942904,0.2692294920063451,0.2237116479920211,ADA,0.4999999999999998,technical
48,others_cr,0.4697875335754223,0.4069801500344205,0.3543297732561818,ADA,0.4999999999999998,technical
49,trend_visual_ichimoku_a,0.5477548273031978,0.4196599749622046,0.2973686215734594,ADA,0.4999999999999998,technical
50,volumefrom,0.3703806368640713,0.2856381625210345,0.2201215944487994,ADA,0.4999999999999998,fundamental
51,volume_mfi,0.3106257643696373,0.2225951264111126,0.1724031981982611,ADA,0.4999999999999998,technical
52,momentum_stoch_signal,0.286692777549861,0.196079801065354,0.1645520307640575,ADA,0.4999999999999998,technical
53,close_y,1.0000000000000002,1.0000000000000002,0.9999934611114498,ADA,0.4999999999999998,technical
54,distil_sadness_mean,0.3927185586720974,0.3096668244230589,0.23374671792135,ADA,0.4999999999999998,sentiment
55,vader_neu_wt_sum,0.364880932297745,0.2821232157277409,0.2136323681790539,ADA,0.4999999999999998,sentiment
56,volatility_bbp,0.2711178175589533,0.1743808204958006,0.1366408325586392,ADA,0.4999999999999998,technical
57,volatility_bbl,0.590527203485193,0.500575588500672,0.3638198139690139,ADA,0.4999999999999998,technical
58,trend_adx_pos,0.2751629850827572,0.1712837135526857,0.1494362309834714,ADA,0.4999999999999998,technical
59,distil_joy_wt_sum_hot,0.3987989527863647,0.3168981485923672,0.2407395739029432,ADA,0.4999999999999998,sentiment
60,momentum_ppo,0.3041111817275586,0.2207997379547157,0.167576552512168,ADA,0.4999999999999998,technical
61,trend_ichimoku_b,0.6244153203531193,0.5188268643119957,0.3920278010936733,ADA,0.4999999999999998,technical
62,day_of_month,0.2130018893691765,0.1256723998528168,0.0807643520410505,ADA,0.4999999999999998,technical
63,vader_compound_wt_sum,0.4387526674925375,0.3641577490901617,0.2715181781066197,ADA,0.4999999999999998,sentiment
64,volatility_kcl,0.5050770885906496,0.4331761964665291,0.3682619542775437,ADA,0.4999999999999998,technical
65,roberta_Positive_wt_sum_hot,0.4165953341946656,0.3238716096835758,0.2365328093445205,ADA,0.4999999999999998,sentiment
66,retail_sales,0.4742646531976769,0.3722313171377656,0.3079830910315749,ADA,0.4999999999999998,fundamental
67,volume_vpt,0.2074251375246058,0.1246273425308534,0.1106324091403053,ADA,0.4999999999999998,technical
68,daily_popularity_pop,0.3740810579890704,0.3021151460642524,0.2162512857028956,ADA,0.4999999999999998,sentiment
69,vader_pos_wt_sum,0.4387526674925375,0.3641577490901617,0.2717920651982944,ADA,0.4999999999999998,sentiment
70,volatility_kch,0.4721852762371077,0.4031854023018195,0.3577116782336403,ADA,0.4999999999999998,technical
71,trend_psar_up,0.2945706851742068,0.2449337157953151,0.199418442096138,ADA,0.4999999999999998,technical
72,roberta_Positive_wt_sum_pop,0.3976168488418672,0.3113723515306069,0.2154352855054674,ADA,0.4999999999999998,sentiment
73,momentum_ao,0.3081299325089807,0.2328118058254236,0.1678764555726526,ADA,0.4999999999999998,technical
74,momentum_tsi,0.2834541191303755,0.2102237224266811,0.1699506956192853,ADA,0.4999999999999998,technical
75,distil_love_sum_pop,0.4442590042493731,0.3699275453417158,0.310022395849762,ADA,0.4999999999999998,sentiment
76,trend_ichimoku_conv,0.5115777373812632,0.4238366833130153,0.3576255061706458,ADA,0.4999999999999998,technical
77,distil_sadness_wt_sum_pop,0.3937836802728074,0.3132771418786604,0.2225550114076404,ADA,0.4999999999999998,sentiment
78,vader_neg_mean_pop,0.0,0.0,0.0,ADA,0.4999999999999998,sentiment
79,distil_love_mean_pop,0.4257566934017786,0.3278684502743385,0.2493292732870253,ADA,0.4999999999999998,sentiment
80,weight,0.3665418928974058,0.2896482137709596,0.2376841076342932,ADA,0.4999999999999998,sentiment
