,x,y,MIC,GMIC,TIC,sym,thresh
0,close_y,distil_joy_mean,0.7694711862387005,0.7417768991649194,0.6132012346920626,SOL,0.75
1,close_y,distil_joy_sum_pop,0.7857403278630879,0.7651142923340168,0.6176930112543416,SOL,0.75
2,close_y,avg_upvote_ratio,0.7694711862387005,0.735645064485343,0.6173574785990211,SOL,0.75
3,close_y,momentum_pvo,0.31580065801107154,0.23328312263441653,0.2219742066255071,SOL,0.75
4,close_y,distil_anger_sum,0.771683653465323,0.7584340460090866,0.6609187525847718,SOL,0.75
5,close_y,gspc_open,0.8363324718414612,0.8227043975025129,0.6629496757202628,SOL,0.75
6,close_y,gold,0.5115078137621288,0.41387731357437385,0.30770802618453824,SOL,0.75
7,close_y,distil_love_wt_sum_hot,0.7197510443372533,0.6572010518431265,0.5553964500217669,SOL,0.75
8,close_y,trend_cci,0.30594269498997384,0.21762122580731258,0.17169799188332951,SOL,0.75
9,close_y,distil_surprise_sum_pop,0.7516235122380439,0.7148437004430395,0.5971736124631407,SOL,0.75
10,close_y,trend_visual_ichimoku_b,0.7717348450894825,0.5850008534482036,0.4999397123685699,SOL,0.75
11,close_y,vader_neg_sum,0.0,0.0,0.0,SOL,0.75
12,close_y,volatility_kcw,0.4656454289037549,0.3756492345229965,0.2755195644443708,SOL,0.75
13,close_y,score_total,0.6580408338832008,0.5758198843405284,0.44645803223421554,SOL,0.75
14,close_y,momentum_kama,0.8046871236729282,0.7167023155198452,0.6064034101353756,SOL,0.75
15,close_y,trend_kst_sig,0.6398852353141146,0.5729328817473534,0.4486686664747959,SOL,0.75
16,close_y,distil_sadness_mean_pop,0.7464383909699402,0.7130198044067484,0.6019815440999722,SOL,0.75
17,close_y,volatility_dcl,0.7689032003359351,0.7168267465836352,0.598908845872873,SOL,0.75
18,close_y,vader_pos_sum,0.6241406265412758,0.5436149250441549,0.41015075567962295,SOL,0.75
19,close_y,roberta_Negative_sum_pop,0.7857403278630879,0.7657561095108192,0.6214585869074735,SOL,0.75
20,close_y,trend_adx_neg,0.38964394427314686,0.28702498659271697,0.25562646726173277,SOL,0.75
21,close_y,distil_fear_wt_sum,0.5669586264648049,0.515391560898077,0.43308896265685826,SOL,0.75
22,close_y,momentum_uo,0.35899217980874665,0.27067323531448856,0.2325780630763246,SOL,0.75
23,close_y,vader_neg_wt_sum_hot,0.0,0.0,0.0,SOL,0.75
24,close_y,trend_macd,0.6146109519073644,0.5395200480967739,0.49164149973422283,SOL,0.75
25,close_y,open,0.7110443824404669,0.6819930338781364,0.5718506314558711,SOL,0.75
26,close_y,distil_love_wt_sum_pop,0.7516235122380439,0.7131818555505547,0.6249786678540072,SOL,0.75
27,close_y,btc_open,0.586400911386632,0.5177236814986358,0.4601416160616246,SOL,0.75
28,close_y,roberta_pos_vs_neg_mean_pop,0.7516235122380439,0.7141963908641841,0.6217167969473812,SOL,0.75
29,close_y,trend_psar_up_indicator,0.16345065679368243,0.06998216464063739,0.052137915319756055,SOL,0.75
30,close_y,vader_pos_wt_sum_pop,0.7167235089607973,0.6652050748401243,0.5661290344173725,SOL,0.75
31,close_y,trend_aroon_down,0.3944930884525144,0.2880315618626572,0.2005169879266022,SOL,0.75
32,close_y,volume_vwap,0.7212215062748604,0.6732077799218072,0.5767644204656622,SOL,0.75
33,close_y,vader_compound_mean,0.6246081010808439,0.5412408823131678,0.4112514086362271,SOL,0.75
34,close_y,vader_neg_sum_pop,0.0,0.0,0.0,SOL,0.75
35,close_y,volatility_bbhi,0.22554248916065528,0.13127498208836216,0.08820297656443617,SOL,0.75
36,close_y,momentum_roc,0.25699347051487564,0.16642298803537856,0.151543583228251,SOL,0.75
37,close_y,volatility_bbw,0.36996220584851713,0.2874734437190396,0.2531909198785735,SOL,0.75
38,close_y,vader_pos_mean_pop,0.713208990485493,0.6597452586609037,0.5441723446072324,SOL,0.75
39,close_y,distil_joy_mean_hot,0.7632041046095429,0.7067032370195484,0.6098703491895335,SOL,0.75
40,close_y,distil_surprise_sum,0.7026787060462599,0.6504778312826136,0.54039513630489,SOL,0.75
41,close_y,volume_nvi,0.832760722742507,0.7719593647486145,0.6123811505992063,SOL,0.75
42,close_y,roberta_Positive_mean_hot,0.7515081669149452,0.6990465891195463,0.6032665202871995,SOL,0.75
43,close_y,amd_open,0.9180165400226872,0.8772534608699433,0.7156288543080179,SOL,0.75
44,close_y,roberta_Positive_sum,0.7857403278630879,0.7643957855015079,0.6219148736436825,SOL,0.75
45,close_y,volatility_ui,0.4111362848364287,0.30647108009450946,0.25897093177952335,SOL,0.75
46,close_y,momentum_ppo_signal,0.689358262650056,0.6182747525853918,0.49173207118547946,SOL,0.75
47,close_y,momentum_pvo_hist,0.37872738280989077,0.27454740587221005,0.22832145686647265,SOL,0.75
48,close_y,others_cr,0.7398255106216562,0.7004524608824273,0.575876449594082,SOL,0.75
49,close_y,trend_visual_ichimoku_a,0.7001610227697752,0.530969156668324,0.4508861364820656,SOL,0.75
50,close_y,volumefrom,0.581264735774734,0.506290935059617,0.3834630836022471,SOL,0.75
51,close_y,volume_mfi,0.2479148126497429,0.16113381363599885,0.14810894495438287,SOL,0.75
52,close_y,momentum_stoch_signal,0.24276787300183422,0.189243296677089,0.1706075415996793,SOL,0.75
53,close_y,close_y,1.0000000000000007,0.9999994191803788,0.9999941647602923,SOL,0.75
54,close_y,distil_sadness_mean,0.769195287193659,0.7095068367335651,0.5969346227737706,SOL,0.75
55,close_y,vader_neu_wt_sum,0.6203443380465848,0.557764607360724,0.46077364300436585,SOL,0.75
