,index,high,low,open,volumefrom,close,SearchFrequency,amd_open,nvda_open,retail_sales,gspc_open,nya_open,gold,day_of_month,weekday,symbol
0,573,0.3622,0.2977,0.3463,10677393.604488501,0.3124,4.6203124999998515,91.29837481804967,148.65799531254976,576727.0874999815,3930.3276975902945,15390.887346321702,1811.2615411757843,14.373437499999541,2.999999999999905,MANA
1,574,0.3249,0.2516,0.3124,10242010.713414853,0.2966,4.503794642856997,90.94482382365346,148.78593127045838,573740.7843749817,3925.0746669223076,15391.003051103375,1810.3629432677644,17.42499999999945,3.289062499999895,MANA
2,575,0.3156,0.2655,0.2966,9232800.33031667,0.2862,4.485491071428426,90.63851833172917,148.84489134719917,568603.4499999818,3919.2832020349624,15382.720965139715,1808.1333416257007,18.762499999999406,3.204687499999898,MANA
3,576,0.3257,0.2702,0.2862,6931002.409546649,0.3002,4.567633928571281,90.4954133118873,149.01901901108405,568720.9964285532,3915.961602456105,15377.07751464795,1806.5180249622313,19.72499999999937,3.073437499999902,MANA
4,577,0.3228,0.2928,0.3002,6722034.384760943,0.3112,4.752455357142704,90.27440892627975,149.04622622898174,568707.9357142675,3913.748149871701,15380.693930489184,1803.807712881848,20.343749999999353,2.926562499999907,MANA
5,578,0.3619,0.2948,0.3112,6936635.085897098,0.3274,5.042187499999837,89.92762569869986,148.67109229223595,568575.1517856962,3906.825273350182,15363.770972551129,1799.5245613915006,20.649999999999345,2.795312499999911,MANA
6,579,0.3296,0.2925,0.3274,7234591.324633694,0.3042,4.3421874999998575,89.42118176562161,148.00537193502225,568333.5285714105,3900.7845906392636,15348.142590331541,1792.5180655342622,20.67499999999935,2.710937499999913,MANA
7,580,0.3223,0.2968,0.3042,7541662.576573417,0.3136,4.157812499999862,88.77875322273516,146.9827775035539,567993.9499999818,3894.7493462152606,15333.296485900391,1785.7835561206796,20.449999999999356,2.999999999999905,MANA
8,581,0.3294,0.2438,0.3136,7683649.802526536,0.2716,4.1676339285712904,88.0599070072146,145.75150914702633,567567.2999999819,3887.8523785181173,15313.51453857373,1779.297930581173,20.00624999999937,3.289062499999895,MANA
9,582,0.2719,0.191,0.2716,8518686.38739258,0.2328,4.550223214285563,87.07355423824849,143.84132954562958,567064.462499982,3878.8933571950492,15287.025542340474,1770.9602728161933,19.374999999999385,3.204687499999898,MANA
10,583,0.2693,0.2199,0.2328,9414124.691401483,0.2509,5.27321428571411,86.20347824096403,141.99600680214567,566496.3214285534,3870.2949320110724,15261.713649422294,1763.5021677289126,18.587499999999412,3.073437499999902,MANA
11,584,0.2929,0.2392,0.2509,9849594.598470662,0.2558,6.304241071428365,85.30505844865256,140.2362581763904,565873.7607142676,3862.911619731235,15234.967376054548,1757.1310221807732,17.67499999999944,2.926562499999907,MANA
12,585,0.269,0.2243,0.2558,7450640.5088412715,0.2497,7.610937499999751,84.39676823104863,138.56616766622648,565207.6642856963,3855.798263004725,15211.923169380798,1750.6896113803848,16.668749999999473,2.795312499999911,MANA
13,586,0.263,0.2456,0.2497,7358515.773638145,0.2526,8.90781249999971,83.55143557446077,136.95991967916058,564508.9160714105,3849.9167342048504,15196.171073477124,1744.2784462519498,15.599999999999502,2.710937499999913,MANA
14,587,0.2552,0.2206,0.2526,9799632.673178252,0.2368,10.50937499999966,82.85525482552129,135.42087503841515,563788.399999982,3847.080134636893,15190.57557089621,1738.4164121627255,14.499999999999535,2.999999999999905,MANA
15,588,0.2597,0.2368,0.2368,12755679.07138351,0.2597,12.199776785713892,82.1992638639015,133.76011308260897,563056.9999999821,3844.812945992483,15189.122974940228,1733.2603587286262,13.399999999999574,3.289062499999895,MANA
16,589,0.2908,0.2544,0.2597,15213700.481320933,0.28,14.06316964285669,81.77859453814109,132.4201032451179,562325.5999999822,3845.8955783842775,15199.394090488497,1728.9476102283472,12.331249999999606,3.204687499999898,MANA
17,590,0.3572,0.2758,0.28,18939386.500740465,0.3572,16.05714285714234,81.52336280856552,131.19596803358206,561605.0839285536,3848.735656356689,15212.18757542153,1725.3075193132122,11.324999999999637,3.073437499999902,MANA
18,591,0.4425,0.3359,0.3572,22697093.645267133,0.4186,18.13928571428513,81.31883837835869,130.39219728878152,560906.3357142678,3854.0079666136467,15239.850792366631,1721.1261406216756,10.412499999999664,2.926562499999907,MANA
19,592,0.4201,0.3555,0.4186,26034843.437918816,0.3759,20.26718749999935,81.01804591417054,129.43389115673745,560240.2392856965,3859.934235545444,15271.525526645719,1717.3347760063716,9.624999999999691,2.795312499999911,MANA
20,593,0.3955,0.3403,0.3759,28905402.99359729,0.3601,23.326562499999255,80.82044327088506,128.79783002137728,559617.6785714107,3867.134278324549,15299.718480354912,1713.4307599748336,8.99374999999971,2.710937499999913,MANA
21,594,0.4195,0.3518,0.3601,31654058.333039176,0.402,26.00312499999917,80.61479377916625,128.23574440989768,559049.5374999822,3873.2912942067687,15333.095254516113,1711.1023678097858,8.549999999999722,2.999999999999905,MANA
22,595,0.4991,0.402,0.402,33780472.92506366,0.491,28.573660714284806,80.47179829733456,127.7297087158435,558546.6999999823,3878.982049342441,15368.844022477886,1710.122730636542,8.324999999999731,3.289062499999895,MANA
23,596,0.6288,0.4861,0.491,35402099.786579244,0.5528,30.814955357141883,80.51750119243093,127.5413865566213,558120.0499999821,3886.1384906222597,15414.775169808032,1709.6679344449176,8.34999999999973,3.204687499999898,MANA
24,597,0.5641,0.4774,0.5528,37084981.14955687,0.4809,32.71473214285612,80.40350567613073,127.49095271314488,557780.4714285536,3893.7150694709617,15460.465895080068,1711.2552371978218,8.656249999999718,3.073437499999902,MANA
25,598,0.564,0.474,0.4809,38170728.922244325,0.5203,34.260714285713206,80.26076890911119,127.51181601455828,557538.848214268,3899.883248737756,15498.256172833631,1714.453900664139,9.2749999999997,2.926562499999907,MANA
26,599,0.6825,0.5185,0.5203,38392922.05346976,0.6595,35.44062499999889,80.19516831295579,127.47621586322377,557406.0642856965,3906.397452872016,15534.328920200398,1718.9814946855274,10.237499999999672,2.795312499999911,MANA
