,x,y,MIC,GMIC,TIC,sym,thresh
0,close_y,distil_joy_mean,0.4955565805910359,0.41807980984759385,0.33196886486623517,LUNA,0.75
1,close_y,distil_joy_sum_pop,0.5666031137821252,0.48738882997347127,0.41914811029986215,LUNA,0.75
2,close_y,avg_upvote_ratio,0.4652291726938786,0.3894199773615265,0.3176518164320043,LUNA,0.75
3,close_y,momentum_pvo,0.4437498226387821,0.34222458980717346,0.2580772105450646,LUNA,0.75
4,close_y,distil_anger_sum,0.4903179114930163,0.4041865108028734,0.32072969645301846,LUNA,0.75
5,close_y,gspc_open,0.8749162852836807,0.8550667396261901,0.7193442710921243,LUNA,0.75
6,close_y,gold,0.3639116387137263,0.3043062376032551,0.27392629237051697,LUNA,0.75
7,close_y,distil_love_wt_sum_hot,0.4954499700148185,0.4090052712351836,0.3161577825594804,LUNA,0.75
8,close_y,trend_cci,0.35010322451278375,0.24566869667345012,0.17912773555462896,LUNA,0.75
9,close_y,distil_surprise_sum_pop,0.555820258122095,0.47926341556326346,0.40466031399194574,LUNA,0.75
10,close_y,trend_visual_ichimoku_b,0.9276137872938837,0.8432333748394021,0.7079480382867464,LUNA,0.75
11,close_y,vader_neg_sum,0.0,0.0,0.0,LUNA,0.75
12,close_y,volatility_kcw,0.34498344297530903,0.24874884428375496,0.20783941054915306,LUNA,0.75
13,close_y,score_total,0.47245565790618793,0.38765914550449687,0.31216335518559124,LUNA,0.75
14,close_y,momentum_kama,0.9943920992046716,0.9525189500306211,0.8194340900340513,LUNA,0.75
15,close_y,trend_kst_sig,0.8484376988158995,0.7706544112781291,0.5367053628225134,LUNA,0.75
16,close_y,distil_sadness_mean_pop,0.5751687942833442,0.48966460339385487,0.41016439135752364,LUNA,0.75
17,close_y,volatility_dcl,0.9922775683862864,0.9524541433726651,0.7924561282874093,LUNA,0.75
18,close_y,vader_pos_sum,0.38295660910890095,0.33206119296646286,0.26514114309810416,LUNA,0.75
19,close_y,roberta_Negative_sum_pop,0.5892218585391639,0.4993635275099252,0.41412384436125776,LUNA,0.75
20,close_y,trend_adx_neg,0.37736157543192295,0.2903237359885153,0.22375821856024725,LUNA,0.75
21,close_y,distil_fear_wt_sum,0.5223567408512605,0.43840978642445416,0.31512109919324455,LUNA,0.75
22,close_y,momentum_uo,0.4051488885070776,0.30863536157863036,0.27644025942026224,LUNA,0.75
23,close_y,vader_neg_wt_sum_hot,0.0,0.0,0.0,LUNA,0.75
24,close_y,trend_macd,0.6598304079468639,0.5779709361653022,0.46804782651702453,LUNA,0.75
25,close_y,open,0.9301579581301958,0.8872750547997491,0.7486840304299315,LUNA,0.75
26,close_y,distil_love_wt_sum_pop,0.5516890675822888,0.4639216106203606,0.35800262356936435,LUNA,0.75
27,close_y,btc_open,0.5102424461952636,0.44107031256058693,0.32288976154242627,LUNA,0.75
28,close_y,roberta_pos_vs_neg_mean_pop,0.5892218585391639,0.5028060588044099,0.4184099359971206,LUNA,0.75
29,close_y,trend_psar_up_indicator,0.14316150115298112,0.04974745220402199,0.03856953866132149,LUNA,0.75
30,close_y,vader_pos_wt_sum_pop,0.494153537786348,0.44873312775729307,0.367098122588309,LUNA,0.75
31,close_y,trend_aroon_down,0.3304598848848204,0.2214053803752668,0.1572839612011278,LUNA,0.75
32,close_y,volume_vwap,0.9922775683862864,0.9524541433726651,0.8218100696744571,LUNA,0.75
33,close_y,vader_compound_mean,0.3927715580557779,0.3389245683488258,0.26639672461199704,LUNA,0.75
34,close_y,vader_neg_sum_pop,0.0,0.0,0.0,LUNA,0.75
35,close_y,volatility_bbhi,0.20017163343663816,0.10554709269581626,0.07042841241612034,LUNA,0.75
36,close_y,momentum_roc,0.3226917012393464,0.22494865543835804,0.17255371727329885,LUNA,0.75
37,close_y,volatility_bbw,0.3639888458942414,0.28184138491894006,0.23060795146412624,LUNA,0.75
38,close_y,vader_pos_mean_pop,0.48199636343879076,0.44204906067503824,0.36542048009509004,LUNA,0.75
39,close_y,distil_joy_mean_hot,0.4518381007414764,0.37516805431683764,0.33954718291874725,LUNA,0.75
40,close_y,distil_surprise_sum,0.561154340367719,0.4709213767354238,0.3689043468416992,LUNA,0.75
41,close_y,volume_nvi,0.5677812113903307,0.4316781591976311,0.37591165533048443,LUNA,0.75
42,close_y,roberta_Positive_mean_hot,0.44457384181339354,0.3794579076746296,0.3292164423414928,LUNA,0.75
43,close_y,amd_open,0.9455993488150541,0.8920620480812199,0.7745479289693865,LUNA,0.75
44,close_y,roberta_Positive_sum,0.5072800991134885,0.42300062236176755,0.3287819188828893,LUNA,0.75
45,close_y,volatility_ui,0.34313046454604595,0.21817372925709935,0.21166454213866065,LUNA,0.75
46,close_y,momentum_ppo_signal,0.7293641203140085,0.650086674186084,0.48188566774645863,LUNA,0.75
47,close_y,momentum_pvo_hist,0.3739869114546581,0.2458028894232603,0.22166517554948645,LUNA,0.75
48,close_y,others_cr,0.9387217827314862,0.893043222384457,0.7540251282192928,LUNA,0.75
49,close_y,trend_visual_ichimoku_a,0.9425340807677605,0.8540636455020807,0.7043595634338369,LUNA,0.75
50,close_y,volumefrom,0.7066180230123308,0.6842605600538151,0.5544958688187033,LUNA,0.75
51,close_y,volume_mfi,0.3504635798391721,0.20860751480844797,0.16187865878001312,LUNA,0.75
52,close_y,momentum_stoch_signal,0.4623649009859823,0.35828179299586316,0.23234627301498467,LUNA,0.75
53,close_y,close_y,0.9999999999999994,0.9999995283393053,0.9999950740111047,LUNA,0.75
