,x,y,MIC,GMIC,TIC,sym,thresh
0,close_y,distil_joy_mean,0.9145229128483283,0.8588546039406157,0.6761230199629673,AVAX,0.75
1,close_y,distil_joy_sum_pop,0.9745384842128144,0.9390853821877324,0.7296306513705499,AVAX,0.75
2,close_y,avg_upvote_ratio,0.9173893827864896,0.8701408553644513,0.6838176045020822,AVAX,0.75
3,close_y,momentum_pvo,0.3529899025042779,0.2926899764239831,0.25946400066084185,AVAX,0.75
4,close_y,distil_anger_sum,0.8872966269935474,0.8421553880306905,0.6640389591661322,AVAX,0.75
5,close_y,gspc_open,0.9258666228031183,0.885915894748019,0.7589853966578016,AVAX,0.75
6,close_y,gold,0.31019452732148256,0.24988392911057206,0.2166143691448971,AVAX,0.75
7,close_y,distil_love_wt_sum_hot,0.8468136727337781,0.7634629545648492,0.5805877516559481,AVAX,0.75
8,close_y,trend_cci,0.42226648535031086,0.3209208794338914,0.205200003271841,AVAX,0.75
9,close_y,distil_surprise_sum_pop,0.9563478415262386,0.9192684575687343,0.7201846223810844,AVAX,0.75
10,close_y,trend_visual_ichimoku_b,0.8626339832122678,0.7289065532394767,0.5947258506240973,AVAX,0.75
11,close_y,vader_neg_sum,0.0,0.0,0.0,AVAX,0.75
12,close_y,volatility_kcw,0.3219481186814528,0.25481787097901465,0.22426681512885005,AVAX,0.75
13,close_y,score_total,0.9312164219888777,0.8539955690136463,0.5935278098330871,AVAX,0.75
14,close_y,momentum_kama,0.9403532119042469,0.8889309639333638,0.6977088920950634,AVAX,0.75
15,close_y,trend_kst_sig,0.36297593098122216,0.2895552273057189,0.2648972830767618,AVAX,0.75
16,close_y,distil_sadness_mean_pop,0.9931809715292984,0.9553303584647957,0.7403002673495732,AVAX,0.75
17,close_y,volatility_dcl,0.9344612328835274,0.8770107629161402,0.6894773309775012,AVAX,0.75
18,close_y,vader_pos_sum,0.24142748749385384,0.19676267790078222,0.13084220283457473,AVAX,0.75
19,close_y,roberta_Negative_sum_pop,0.9461248337533569,0.9145521163201428,0.71683141545409,AVAX,0.75
20,close_y,trend_adx_neg,0.4269656916241313,0.3559858620179428,0.2913114401755073,AVAX,0.75
21,close_y,distil_fear_wt_sum,0.8811242033484364,0.7923091106592768,0.5843166691915047,AVAX,0.75
22,close_y,momentum_uo,0.3367686648252037,0.25685516160650723,0.19259244004112075,AVAX,0.75
23,close_y,vader_neg_wt_sum_hot,0.0,0.0,0.0,AVAX,0.75
24,close_y,trend_macd,0.4768419932444014,0.4052543190053427,0.3660797041310873,AVAX,0.75
25,close_y,open,0.8821069906949615,0.8299419621559194,0.6520489775713143,AVAX,0.75
26,close_y,distil_love_wt_sum_pop,0.8808946489572409,0.8168525738229352,0.6319558089760121,AVAX,0.75
27,close_y,btc_open,0.5663531564027089,0.494008664994756,0.40307614172887724,AVAX,0.75
28,close_y,roberta_pos_vs_neg_mean_pop,0.946142512178679,0.9221648295270269,0.718207555416196,AVAX,0.75
29,close_y,trend_psar_up_indicator,0.12819139323713005,0.05350890856894057,0.03555003294466594,AVAX,0.75
30,close_y,vader_pos_wt_sum_pop,0.36476197335775,0.3268683777063168,0.2285360550755591,AVAX,0.75
31,close_y,trend_aroon_down,0.36223199745663265,0.268875611420087,0.18814930308029695,AVAX,0.75
32,close_y,volume_vwap,0.8932745469499274,0.8418568081900482,0.6510280260179829,AVAX,0.75
33,close_y,vader_compound_mean,0.24142748749385384,0.19676267790078222,0.13088252434657072,AVAX,0.75
34,close_y,vader_neg_sum_pop,0.0,0.0,0.0,AVAX,0.75
35,close_y,volatility_bbhi,0.19596103859600017,0.12554380799380824,0.0848714083201276,AVAX,0.75
36,close_y,momentum_roc,0.34408922032287287,0.2491764413743988,0.1807564391641077,AVAX,0.75
37,close_y,volatility_bbw,0.2978261027126783,0.19849820584457598,0.18307505980295796,AVAX,0.75
38,close_y,vader_pos_mean_pop,0.36476197335775,0.3268683777063168,0.2285360550755591,AVAX,0.75
39,close_y,distil_joy_mean_hot,0.9138867107997579,0.8611456631103052,0.6665009344252332,AVAX,0.75
40,close_y,distil_surprise_sum,0.9051814188905599,0.8558269790866461,0.6711168421756338,AVAX,0.75
41,close_y,volume_nvi,0.9337889871937396,0.9041599687631356,0.7418089527447578,AVAX,0.75
42,close_y,roberta_Positive_mean_hot,0.9161769783910233,0.8721004881568699,0.6782968752329869,AVAX,0.75
43,close_y,amd_open,0.9879832847220958,0.948156578266808,0.7598136517187846,AVAX,0.75
44,close_y,roberta_Positive_sum,0.9161712080938602,0.8741294672439994,0.6805639690055584,AVAX,0.75
45,close_y,volatility_ui,0.3622211284388254,0.3118302219386476,0.2469628196912837,AVAX,0.75
46,close_y,momentum_ppo_signal,0.4536978632702793,0.368919213084629,0.32626302219208764,AVAX,0.75
47,close_y,momentum_pvo_hist,0.2988969893976117,0.21105091882209714,0.19619481059958374,AVAX,0.75
48,close_y,others_cr,0.8910215778377072,0.8368663467370044,0.6574100054487114,AVAX,0.75
49,close_y,trend_visual_ichimoku_a,0.8681186970255552,0.7796984048018587,0.624225654109863,AVAX,0.75
50,close_y,volumefrom,0.4577802033666955,0.37028100058226254,0.315184075090227,AVAX,0.75
51,close_y,volume_mfi,0.3395176489291384,0.2352212794703999,0.17406258404501487,AVAX,0.75
52,close_y,momentum_stoch_signal,0.3395424699855288,0.25421423043271907,0.1904735286259029,AVAX,0.75
53,close_y,close_y,1.0000000000000002,1.0000000000000002,0.9999948937342173,AVAX,0.75
54,close_y,distil_sadness_mean,0.9143810943151534,0.8737132666547115,0.6860315467056975,AVAX,0.75
