,eval_metric,learning_rate,max_depth,min_child_weight,n_estimators,objective,predictor,random_state,reg_alpha,reg_lambda,tree_method,mse,mae,rmse,sym
0,rmse,0.05,6,2,1000,reg:squarederror,gpu_predictor,123,0.17,0.01,gpu_hist,0.005309752,0.051172219,0.072868045,BTC
1,rmse,0.05,6,2,1000,reg:squarederror,gpu_predictor,123,0.17,0.01,gpu_hist,0.394182755,0.627552911,0.627839753,BTC
